"","date","hits","keyword","geo","gprop","category","hits_backup","datetime"
"135",2016-05-14 00:30:00,91.4285714285714,"BTC","world","web",0,32,2016-05-13
"136",2016-05-15 00:30:00,77.1428571428571,"BTC","world","web",0,27,2016-05-14
"137",2016-05-16 00:30:00,88.5714285714286,"BTC","world","web",0,31,2016-05-15
"138",2016-05-17 00:30:00,100,"BTC","world","web",0,35,2016-05-16
"139",2016-05-18 00:30:00,91.4285714285714,"BTC","world","web",0,32,2016-05-17
"140",2016-05-19 00:30:00,91.4285714285714,"BTC","world","web",0,32,2016-05-18
"141",2016-05-20 00:30:00,97.1428571428571,"BTC","world","web",0,34,2016-05-19
"142",2016-05-21 00:30:00,94.2857142857143,"BTC","world","web",0,33,2016-05-20
"143",2016-05-22 00:30:00,74.2857142857143,"BTC","world","web",0,26,2016-05-21
"144",2016-05-23 00:30:00,88.5714285714286,"BTC","world","web",0,31,2016-05-22
"145",2016-05-24 00:30:00,114.285714285714,"BTC","world","web",0,40,2016-05-23
"146",2016-05-25 00:30:00,111.428571428571,"BTC","world","web",0,39,2016-05-24
"147",2016-05-26 00:30:00,97.1428571428571,"BTC","world","web",0,34,2016-05-25
"148",2016-05-27 00:30:00,105.714285714286,"BTC","world","web",0,37,2016-05-26
"149",2016-05-28 00:30:00,122.857142857143,"BTC","world","web",0,43,2016-05-27
"150",2016-05-29 00:30:00,105.714285714286,"BTC","world","web",0,37,2016-05-28
"151",2016-05-30 00:30:00,131.428571428571,"BTC","world","web",0,46,2016-05-29
"152",2016-05-31 00:30:00,128.571428571429,"BTC","world","web",0,45,2016-05-30
"153",2016-06-01 00:30:00,122.857142857143,"BTC","world","web",0,43,2016-05-31
"154",2016-06-02 00:30:00,105.714285714286,"BTC","world","web",0,37,2016-06-01
"155",2016-06-03 00:30:00,117.142857142857,"BTC","world","web",0,41,2016-06-02
"156",2016-06-04 00:30:00,131.428571428571,"BTC","world","web",0,46,2016-06-03
"157",2016-06-05 00:30:00,108.571428571429,"BTC","world","web",0,38,2016-06-04
